,name,height,weight,Unnamed: 0,rates
0,,,,AED,3.988447
1,,,,AFN,97.377117
2,,,,ALL,115.426091
3,,,,AMD,430.530446
4,,,,ANG,1.956918
5,,,,AOA,547.583302
6,,,,ARS,204.097253
7,,,,AUD,1.553602
8,,,,AWG,1.954589
9,,,,AZN,1.848414
10,,,,BAM,1.943138
11,,,,BBD,2.19238
12,,,,BDT,116.567394
13,,,,BGN,1.955654
14,,,,BHD,0.409386
15,,,,BIF,2253.362107
16,,,,BMD,1.085883
17,,,,BND,1.423151
18,,,,BOB,7.503334
19,,,,BRL,5.538326
20,,,,BSD,1.085808
21,,,,BTC,4.618688e-05
22,,,,BTN,88.854508
23,,,,BWP,13.832254
24,,,,BYN,2.741295
25,,,,BYR,21283.297588
26,,,,BZD,2.188704
27,,,,CAD,1.454404
28,,,,CDF,2220.629573
29,,,,CHF,1.002465
30,,,,CLF,0.031116
31,,,,CLP,858.585586
32,,,,CNY,7.348205
33,,,,COP,5020.871066
34,,,,CRC,608.495595
35,,,,CUC,1.085883
36,,,,CUP,28.775887
37,,,,CVE,109.549475
38,,,,CZK,23.727617
39,,,,DJF,193.307408
40,,,,DKK,7.444344
41,,,,DOP,61.490374
42,,,,DZD,147.167566
43,,,,EGP,32.878461
44,,,,ERN,16.288238
45,,,,ETB,58.291269
46,,,,EUR,1.0
47,,,,FJD,2.360713
48,,,,FKP,0.885794
49,,,,GBP,0.89443
50,,,,GEL,2.856159
51,,,,GGP,0.885794
52,,,,GHS,13.301421
53,,,,GIP,0.885794
54,,,,GMD,66.238763
55,,,,GNF,9347.943663
56,,,,GTQ,8.523727
57,,,,GYD,229.113539
58,,,,HKD,8.520122
59,,,,HNL,26.769157
60,,,,HRK,7.647
61,,,,HTG,162.837423
62,,,,HUF,388.191906
63,,,,IDR,16288.23795
64,,,,ILS,3.713148
65,,,,IMP,0.885794
66,,,,INR,89.146068
67,,,,IQD,1584.81979
68,,,,IRR,45824.242408
69,,,,ISK,153.489218
70,,,,JEP,0.885794
71,,,,JMD,167.765642
72,,,,JOD,0.77076
73,,,,JPY,141.405792
74,,,,KES,135.463675
75,,,,KGS,93.657395
76,,,,KHR,4462.894337
77,,,,KMF,490.058628
78,,,,KPW,977.267613
79,,,,KRW,1346.494104
80,,,,KWD,0.331227
81,,,,KYD,0.904919
82,,,,KZT,497.361471
83,,,,LAK,18287.047102
84,,,,LBP,16298.769503
85,,,,LKR,396.33997
86,,,,LRD,170.429619
87,,,,LSL,18.55766
88,,,,LTL,3.206329
89,,,,LVL,0.65684
90,,,,LYD,5.137345
91,,,,MAD,11.034925
92,,,,MDL,20.380981
93,,,,MGA,4637.25167
94,,,,MKD,61.215172
95,,,,MMK,2280.311783
96,,,,MNT,3797.836609
97,,,,MOP,8.77477
98,,,,MRO,387.659876
99,,,,MUR,49.300713
100,,,,MVR,16.668535
101,,,,MWK,1114.499617
102,,,,MXN,20.475942
103,,,,MYR,4.623712
104,,,,MZN,69.311606
105,,,,NAD,18.557663
106,,,,NGN,500.092158
107,,,,NIO,39.675856
108,,,,NOK,11.003454
109,,,,NPR,142.167015
110,,,,NZD,1.696469
111,,,,OMR,0.418038
112,,,,PAB,1.085808
113,,,,PEN,4.151186
114,,,,PGK,3.826928
115,,,,PHP,58.529606
116,,,,PKR,298.883667
117,,,,PLN,4.703164
118,,,,PYG,7935.524691
119,,,,QAR,3.953714
120,,,,RON,4.902215
121,,,,RSD,117.389315
122,,,,RUB,76.860974
123,,,,RWF,1175.541917
124,,,,SAR,4.074802
125,,,,SBD,8.901275
126,,,,SCR,15.258731
127,,,,SDG,634.699635
128,,,,SEK,11.370694
129,,,,SGD,1.429956
130,,,,SHP,1.495694
131,,,,SLE,21.5861
132,,,,SLL,21120.415137
133,,,,SOS,617.317239
134,,,,SRD,35.056651
135,,,,STD,22475.575983
136,,,,SVC,9.500944
137,,,,SYP,2728.319872
138,,,,SZL,18.618692
139,,,,THB,36.069755
140,,,,TJS,11.200345
141,,,,TMT,3.811448
142,,,,TND,3.301625
143,,,,TOP,2.510506
144,,,,TRY,20.440326
145,,,,TTD,7.37
146,,,,TWD,32.411965
147,,,,TZS,2539.879324
148,,,,UAH,40.104159
149,,,,UGX,4000.172768
150,,,,USD,1.085883
151,,,,UYU,42.037431
152,,,,UZS,12288.378139
153,,,,VEF,2433384.214236
154,,,,VES,24.597899
155,,,,VND,25463.945329
156,,,,VUV,124.852564
157,,,,WST,2.895223
158,,,,XAF,651.721272
159,,,,XAG,0.047538
160,,,,XAU,0.000576
161,,,,XCD,2.934652
162,,,,XDR,0.800001
163,,,,XOF,651.700402
164,,,,XPF,119.044977
165,,,,YER,271.908885
166,,,,ZAR,18.796195
167,,,,ZMK,9774.246564
168,,,,ZMW,20.744705
169,,,,ZWL,349.653732
170,alex,1.67,51.25,,
171,ajay,1.82,61.91,,
172,alice,1.76,69.41,,
173,ravi,1.73,64.56,,
174,joe,1.72,65.45,,
175,alex,1.67,51.25,,
176,ajay,1.82,61.91,,
177,alice,1.76,69.41,,
178,ravi,1.73,64.56,,
179,joe,1.72,65.45,,
180,alex,1.67,51.25,,
181,ajay,1.82,61.91,,
182,alice,1.76,69.41,,
183,ravi,1.73,64.56,,
184,joe,1.72,65.45,,
185,jack,1.74,55.93,,
186,tom,1.77,64.18,,
187,tracy,1.78,61.9,,
188,john,1.72,50.97,,
189,jack,1.74,55.93,,
190,tom,1.77,64.18,,
191,tracy,1.78,61.9,,
192,john,1.72,50.97,,
193,jack,1.74,55.93,,
194,tom,1.77,64.18,,
195,tracy,1.78,61.9,,
196,john,1.72,50.97,,
197,simon,1.72,50.97,,
198,jacob,1.7,54.73,,
199,cindy,1.69,57.81,,
200,ivan,1.72,51.77,,
201,simon,1.72,50.97,,
202,jacob,1.7,54.73,,
203,cindy,1.69,57.81,,
204,ivan,1.72,51.77,,
205,simon,1.72,50.97,,
206,jacob,1.7,54.73,,
207,cindy,1.69,57.81,,
208,ivan,1.72,51.77,,
